coco/bbox_mAP,coco/bbox_mAP_50,coco/bbox_mAP_75,coco/bbox_mAP_s,coco/bbox_mAP_m,coco/bbox_mAP_l,data_time,time,step
0.097,0.35,0.027,-1.0,-1.0,0.097,0.9521127614107999,1.0689840100028298,10.0
0.321,0.952,0.105,-1.0,-1.0,0.321,0.86231795946757,0.9463553627332052,20.0
0.577,0.95,0.776,-1.0,-1.0,0.577,0.9180066188176473,1.011795441309611,29.0
0.316,0.935,0.198,-1.0,-1.0,0.316,0.9310671091079712,1.0281200210253398,30.0
0.57,0.953,0.645,-1.0,-1.0,0.57,0.602778971195221,0.6786610881487528,31.0
0.374,0.888,0.339,-1.0,-1.0,0.374,0.8794676462809244,0.9761579235394796,32.0
0.155,0.394,0.083,-1.0,-1.0,0.155,0.5951875249544779,0.6730753382047018,33.0
0.504,0.932,0.497,-1.0,-1.0,0.504,0.7748290697733561,0.871150811513265,34.0
0.357,0.843,0.172,-1.0,-1.0,0.357,0.855401615301768,0.937096099058787,35.0
0.539,0.861,0.623,-1.0,-1.0,0.539,0.6083166003227234,0.6850570241610209,36.0
0.576,0.97,0.745,-1.0,-1.0,0.576,0.9118194580078125,1.0021194815635681,37.0
0.261,0.644,0.151,-1.0,-1.0,0.261,0.6139595111211141,0.6870647867520651,38.0
0.408,0.907,0.281,-1.0,-1.0,0.408,0.9143933653831482,1.0179155468940735,39.0
0.633,0.97,0.815,-1.0,-1.0,0.633,0.6235031485557556,0.7000102599461874,40.0
0.598,0.951,0.746,-1.0,-1.0,0.598,0.8626177112261454,0.9503289461135864,41.0
0.492,0.959,0.414,-1.0,-1.0,0.492,0.6061340967814127,0.6778767704963684,42.0
0.542,0.967,0.464,-1.0,-1.0,0.542,0.8376615246136984,0.9270007411638895,43.0
0.737,0.949,0.944,-1.0,-1.0,0.737,0.6837326486905416,0.7501639127731323,44.0
0.575,0.949,0.674,-1.0,-1.0,0.575,0.8939552307128906,0.9890619119008383,45.0
0.692,0.967,0.847,-1.0,-1.0,0.692,0.6099774638811747,0.6822674671808878,46.0
0.578,0.954,0.692,-1.0,-1.0,0.578,0.7911389867464701,0.8719286123911539,47.0
0.589,0.953,0.741,-1.0,-1.0,0.589,0.7833588719367981,0.8602929512659708,48.0
0.5,0.944,0.437,-1.0,-1.0,0.5,0.6463868816693624,0.7302297155062357,49.0
0.651,0.967,0.847,-1.0,-1.0,0.651,0.9124652544657389,1.0000321666399639,50.0
